dataset,rows,columns,columns_list
account_status_history,60000,8,"history_id, account_id, borrower_id, event_at, status, changed_by, source, recorded_at"
accounts,30000,11,"account_id, borrower_id, loan_type, principal_amount, outstanding_amount, dpd, risk_segment, status, opened_at, timezone, schema_version"
agent_sessions,15000,7,"session_id, agent_id, login_at, channel, device_id, timezone, logout_at"
agents,30000,8,"agent_id, employee_code, agent_name, vendor_id, team, status, joined_at, updated_at"
borrowers,30600,8,"borrower_id, name, phone, email, city, created_at, updated_at, state"
call_attempts,120000,9,"attempt_id, account_id, borrower_id, event_at, call_id, agent_id, attempt_no, vendor_id, attempt_status"
call_dispositions,35000,8,"disposition_id, account_id, borrower_id, event_at, call_id, agent_id, disposition_code, disposition_version"
calls,91350,11,"call_id, account_id, borrower_id, event_at, agent_id, campaign_id, direction, vendor_id, call_status, duration_sec, timezone"
campaigns,120,7,"campaign_id, campaign_name, channel, strategy_version, start_at, target_definition, end_at"
complaints,8000,9,"complaint_id, account_id, borrower_id, event_at, complaint_type, severity, status, source, resolution_at"
daily_targeting,45000,7,"target_id, account_id, campaign_id, target_date, priority, recommended_channel, status"
data_dictionary,143,3,"dataset, column, dtype"
field_visits,25000,10,"visit_id, account_id, borrower_id, event_at, agent_id, visit_type, outcome, latitude, longitude, scheduled_at"
payments,25500,9,"payment_id, account_id, borrower_id, event_at, payment_reference, amount, payment_status, payment_method, provider_id"
promises_to_pay,18000,9,"ptp_id, account_id, borrower_id, event_at, agent_id, promised_amount, promised_date, status, source"
sms_events,45000,8,"sms_event_id, account_id, borrower_id, event_at, message_id, event_type, template_code, provider_id"
vendor_telephony,15,6,"vendor_id, vendor_name, vendor_account_id, timezone, status, schema_version"
whatsapp_events,60600,8,"whatsapp_event_id, account_id, borrower_id, event_at, message_id, event_type, template_code, provider_id"
